election,precinct,registered,cast,democrat,republican
"March 3rd, 2020 Joint Primary",4190,5,0,0,0
"March 3rd, 2020 Joint Primary",4191,3,0,0,0
"March 3rd, 2020 Joint Primary",4192,0,0,0,0
"March 3rd, 2020 Joint Primary",4193,80,4,4,0
"March 3rd, 2020 Joint Primary",4194,980,126,81,45
"March 3rd, 2020 Joint Primary",4195,0,0,0,0
"March 3rd, 2020 Joint Primary",4196,0,0,0,0
"March 3rd, 2020 Joint Primary",4197,4,0,0,0
"March 3rd, 2020 Joint Primary",4198,1733,262,212,50
"March 3rd, 2020 Joint Primary",4199,1305,179,135,44
"March 3rd, 2020 Joint Primary",4200,2603,585,445,140
"March 3rd, 2020 Joint Primary",4201,25,2,0,2
"March 3rd, 2020 Joint Primary",4202,0,0,0,0
"March 3rd, 2020 Joint Primary",4203,341,119,110,9
"March 3rd, 2020 Joint Primary",4204,6,0,0,0
"March 3rd, 2020 Joint Primary",4205,138,27,19,8
"March 3rd, 2020 Joint Primary",4206,544,72,49,23
"March 3rd, 2020 Joint Primary",4207,0,0,0,0
"March 3rd, 2020 Joint Primary",4208,0,0,0,0
"March 3rd, 2020 Joint Primary",4209,63,10,3,7
"March 3rd, 2020 Joint Primary",4210,16,4,3,1
"March 3rd, 2020 Joint Primary",4211,34,13,13,0
"March 3rd, 2020 Joint Primary",4212,0,0,0,0
"March 3rd, 2020 Joint Primary",4213,0,0,0,0
"March 3rd, 2020 Joint Primary",5020,0,16,12,4
"March 3rd, 2020 Joint Primary",5021,0,21,15,6
"March 3rd, 2020 Joint Primary",5023,0,6,5,1
"March 3rd, 2020 Joint Primary",5028,0,3,3,0
"March 3rd, 2020 Joint Primary",5035,0,7,6,1
"March 3rd, 2020 Joint Primary",6001,0,1,0,1
"March 3rd, 2020 Joint Primary",6002,0,0,0,0
"March 3rd, 2020 Joint Primary",6003,0,0,0,0
"March 3rd, 2020 Joint Primary",6004,0,0,0,0
"March 3rd, 2020 Joint Primary",6005,0,131,110,21
"March 3rd, 2020 Joint Primary",6006,0,0,0,0
"March 3rd, 2020 Joint Primary",6007,0,0,0,0
"March 3rd, 2020 Joint Primary",6008,0,0,0,0
"March 3rd, 2020 Joint Primary",6009,0,0,0,0
"March 3rd, 2020 Joint Primary",6010,0,2,2,0
"March 3rd, 2020 Joint Primary",6011,0,3,3,0
"March 3rd, 2020 Joint Primary",6012,0,0,0,0
"March 3rd, 2020 Joint Primary",6013,0,2,2,0
"March 3rd, 2020 Joint Primary",6014,0,0,0,0
"March 3rd, 2020 Joint Primary",6015,0,0,0,0
"March 3rd, 2020 Joint Primary",6016,0,0,0,0
"March 3rd, 2020 Joint Primary",6017,0,0,0,0
"March 3rd, 2020 Joint Primary",6018,0,10,8,2
"March 3rd, 2020 Joint Primary",6019,0,0,0,0
"March 3rd, 2020 Joint Primary",6020,0,0,0,0
"March 3rd, 2020 Joint Primary",6021,0,1,1,0
"March 3rd, 2020 Joint Primary",6022,0,0,0,0
"March 3rd, 2020 Joint Primary",6023,0,0,0,0
"March 3rd, 2020 Joint Primary",6024,0,0,0,0
"March 3rd, 2020 Joint Primary",6025,0,1,1,0
"March 3rd, 2020 Joint Primary",6026,0,2,2,0
